,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ci,36,17,18,18,11,23,30,23,29,28,26,31,28,27,23,36,20,23,26
cd,29,12,16,15,10,23,18,10,18,22,14,21,21,21,16,33,13,17,20
go,12,13,4,5,7,13,7,8,10,22,10,7,13,5,15,12,15,13,15
aws,14,6,6,3,0,32,14,7,5,7,2,2,11,7,6,23,8,17,12
gcp,3,2,2,2,1,13,2,3,0,5,1,0,4,1,2,9,1,4,4
solid,6,3,2,3,3,11,4,5,0,4,2,8,7,5,9,3,5,2,2
experience,2,3,10,0,0,157,15,21,48,41,7,27,40,3,8,18,3,21,8
unix-like,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,2,5,0
docker,53,51,39,24,23,35,50,33,42,40,36,38,45,42,41,44,40,34,34
docker-compose,5,3,4,3,0,5,5,0,5,1,3,2,5,4,2,2,2,1,2
comexp,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
tape,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,8,8
ai,10,6,1,4,4,22,5,4,0,7,5,4,4,4,4,1,6,6,8
dl:,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
falcon,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1
педагогический,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,0,2
английский,31,38,24,23,38,54,43,30,38,40,35,44,37,43,35,35,34,53,27
декоратор,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
перегрузка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
оператор,3,1,3,1,0,1,0,1,2,0,4,0,2,6,4,7,2,1,4
nosql,7,5,10,4,3,5,8,2,10,16,9,10,1,8,9,13,11,7,14
регрессия,0,0,0,3,0,1,2,5,1,0,0,6,0,6,0,0,7,1,0
классификация,1,1,3,2,2,1,3,2,3,3,1,5,3,8,1,1,8,1,1
кластеризация,0,0,0,3,2,0,0,0,0,1,0,5,0,1,0,0,7,0,1
numpy,10,4,10,6,6,15,7,10,11,15,10,20,12,11,14,10,21,15,10
scikit,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
